.model_id,.model_desc,.type,mae,mape,smape,rmse,rsq
1,"REGRESSION WITH ARIMA(3,0,1) ERRORS",Test,19910.636550142877,25.351330781829823,23.570203520703117,30632.543883438586,0.06024148402575953
2,"ARIMA(0,0,2)(0,1,0)[52] W/ XGBOOST ERRORS",Test,20493.880994626164,27.15135452011576,21.329254888182465,39554.29487833723,0.026948546845177047
3,PROPHET W/ REGRESSORS,Test,21078.379207850536,29.535679450032422,31.601779731370932,26221.686797752303,0.41299004734300576
